REPORT_ID	Y_FRAUD
4454886	0
6349908	0
579670	0
3325821	0
2003974	0
2425122	0
2633140	0
4691579	0
3169811	0
4989553	0
8502912	
4050611	0
3829351	0
873020	0
3803057	0
2735487	0
349127	0
4461753	0
3848854	0
8114766	
6679890	
5298932	0
1610423	0
887239	0
4294991	0
6795776	
5467473	0
450487	0
744727	0
1762756	0
2375233	0
2723195	0
5414257	0
4349950	0
5440972	0
4900838	0
6764982	
5606195	0
4301755	0
3022275	0
4869709	0
7191859	0
4089807	0
1362945	0
369686	0
5073171	0
8247205	
1583201	0
910116	0
3702741	0
2633852	0
2536562	0
8207491	
3722530	0
2539403	0
4368192	0
1047258	0
3355598	0
3440032	
5562633	0
6159124	0
9079788	
7053417	0
2372904	0
5016249	0
4557387	0
2039956	0
5016891	0
3036729	0
3904888	0
6677003	0
5106646	0
2385215	0
4582574	0
4987078	
8421300	
7553679	
9024604	
2167201	0
8162521	
5512486	0
9046148	
5086567	0
8690720	
4847978	0
1799962	0
381149	0
4037874	0
5574453	0
4836099	0
2720421	0
4426547	0
1729620	0
8300900	
1551811	0
4533220	0
4319816	0
3067652	0
1292178	0
1509664	0
2779441	0
2455542	0
2961812	0
3950493	0
5311365	0
7017087	0
7525618	
5228900	0
2471640	0
4702697	
4192355	0
4441727	0
4093111	0
267442	0
298459	0
635260	0
3951187	0
8992477	
3697323	
2350021	0
5528342	
5382554	0
3984356	
4205729	0
924387	0
4326361	
4711109	0
495357	0
3739443	0
4453962	0
4361114	0
2320797	0
3708128	0
5539147	0
4841451	
6726265	0
9178696	
4726321	0
8075418	
8499157	
2455524	0
5440547	0
7962929	
4746308	
8246217	
7550319	
1919714	0
7846360	
3213201	0
2061430	0
5055519	
1018259	0
4038948	0
5456623	0
2623067	0
4520822	
1002965	0
4740116	0
4732926	0
7736928	0
2232696	0
4791412	0
5288439	0
5001490	0
5389799	0
2292730	
8712124	
2623466	0
2630092	0
1590187	0
2083303	0
1399499	0
2403449	0
1329136	0
4430334	0
1053949	0
5149647	0
1424430	0
1224306	1
8810829	
7637726	0
9198247	
4897398	0
4365512	0
8718232	
4300121	0
719692	0
3978782	0
4810116	0
4870048	0
576479	0
439070	0
2504802	0
4740129	0
1940299	0
4972082	
3254982	0
5083221	
2747776	1
4188584	0
7251525	0
2878451	0
471432	0
4840207	0
1619995	0
364956	0
2172368	0
1769173	0
7341381	
2242842	0
949504	0
6706039	0
2074320	0
1595834	0
5132545	0
211650	0
8607198	
5395433	0
1740853	0
2159728	0
2140013	0
5301040	0
1102020	0
8693820	
9165701	
3159212	0
2553311	0
2279240	0
8505737	
5374942	0
3041479	0
8612261	
3819865	0
5150157	0
4642611	0
1548805	0
1695234	0
4270608	0
4213418	0
4073208	0
3535379	0
454302	0
5866497	0
4446983	0
4775390	0
4612469	0
1397377	0
7860483	
3643308	
3699455	0
4174399	0
1629282	0
4295198	0
9078948	
3257475	0
3245444	0
4246211	0
7151387	
275581	0
5266382	0
3323623	0
3313031	0
2088930	0
8270454	
2449629	0
8723884	
8977656	
7330792	0
2005558	0
4611523	0
1902461	0
4739795	0
3994480	0
4629068	0
2631193	0
650030	0
4014907	0
5071133	0
5504997	0
699523	0
7491792	0
3463856	0
3415824	0
513565	0
3298519	0
5146845	
6088540	0
6640734	0
765785	0
8980646	
5608358	0
5406722	0
4449047	
996874	0
3514073	0
2238527	0
5908499	0
433611	0
2902141	0
3688291	0
7046272	0
9104036	
2398135	0
1328570	0
3010541	0
6479055	
470545	0
499440	0
1750449	0
1270527	0
559822	0
4345555	0
2642954	0
3391328	0
4248722	0
6030518	
4193049	0
2347075	0
4131980	0
3725211	0
5579434	
8023563	
8362094	
5612988	0
2137338	0
496242	0
6824996	0
1405897	0
3044137	1
2892705	0
4190258	0
1693761	0
5033380	0
2383964	0
3039134	0
2167198	0
3370749	0
7388535	0
4436397	0
3441211	1
5181850	0
3721438	0
1369548	0
2404013	0
5569135	0
3413757	0
951177	0
2402860	0
2101254	0
2039958	0
7484392	0
2616466	0
4177288	0
7923986	
4125136	0
4716790	0
3104209	0
555045	0
3083301	0
6801446	0
3184147	0
1242069	0
7946684	
2438997	0
4925640	0
5494441	
4463963	0
7923168	
4552967	0
9071801	
3119923	0
3740690	0
2786994	0
5517569	0
5368400	0
4742118	0
7975831	
2536713	0
2619930	0
2743247	0
3390093	0
1221363	0
2421619	0
5127339	0
1021093	0
860118	0
5564898	0
2656783	0
2536597	0
5152157	0
9054276	
4917795	0
3163789	
3419617	0
4751500	0
5549795	0
8229911	
1310962	0
379398	0
4262720	0
5157458	0
8704480	
1891051	0
2959888	
3046730	0
2162560	0
5502112	0
4087208	0
877055	
3669337	0
8512429	
2635245	0
5295354	0
2996025	0
3001439	0
2300486	0
8669000	
4904205	0
4182675	0
3112380	1
4903807	0
5455729	0
4327330	0
8654706	
1806525	0
4829436	0
4597034	0
3311791	0
2917314	0
4920949	0
5951635	0
5206368	0
405651	
2450874	0
3092332	0
2951101	0
4082561	0
3421713	0
2858789	0
4376677	0
3729419	0
4155015	0
5196298	
1288850	1
4800685	0
1271790	0
4825383	0
2261011	0
2303360	0
4017311	0
4785577	0
3959772	0
1338946	0
1204559	0
711017	0
3312691	0
4645766	0
5009129	0
5230776	0
8889881	
1521632	0
5147438	0
5122489	0
3844998	0
5297716	0
6046993	0
4213583	0
4885237	0
5559883	0
5228902	0
8155593	
3771917	0
3457622	0
485894	0
3120916	0
898345	0
4910205	0
3605949	0
2699374	0
4360196	0
2840921	0
8349458	
2896163	
3930809	0
7770524	
1935555	0
7099160	
456203	0
4235389	0
4906511	
6201777	0
4951909	0
495207	0
3234663	0
2965896	0
5279160	
4346238	0
4291934	0
1789793	0
1208382	0
870846	0
2959231	0
3981392	0
4196509	0
7971318	
4658365	0
5556894	0
5141123	
4862698	0
5462121	0
7816066	
3224554	
2862995	0
281541	0
884559	0
5249059	0
3600656	0
5123587	0
5291798	0
3370506	0
5108969	
3100716	0
5167477	0
4863951	
6920473	
2233281	0
4966960	0
3215164	0
2798174	0
4813186	0
1422840	0
4093885	0
3691490	0
1663062	0
1640835	0
4531555	0
159514	1
8469308	
1608625	0
1509361	1
8034948	
2553590	0
4214494	0
3799210	
4477187	0
1571174	
7992228	
1505379	0
4863632	0
4847014	0
8738357	
2728197	0
3267179	0
4075979	0
4702691	0
2251825	0
4320529	0
4415953	
4155601	0
4997823	0
1508093	
2678388	0
434327	0
6715121	0
1120534	0
5657546	0
1657648	0
2062382	0
4355969	1
4898226	0
3532908	0
1613062	0
7725143	
1816798	0
4977643	0
5876435	0
3561605	0
521915	0
4952032	0
